نوع البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
دوري أبطال أفريقيا,جور ماهيا,الأهلي,15:00,- - -
دوري أبطال أفريقيا,جور ماهيا,الأهلي,15:00,- - -
دوري أبطال أفريقيا,جور ماهيا,الأهلي,15:00,- - -
دوري أبطال أفريقيا,جور ماهيا,الأهلي,15:00,- - -
دوري أبطال أفريقيا,نادي سامارتكس,الرجاء البيضاوي,18:00,- - -
دوري أبطال أفريقيا,نادي سامارتكس,الرجاء البيضاوي,18:00,- - -
دوري أبطال أفريقيا,نادي سامارتكس,الرجاء البيضاوي,18:00,- - -
دوري أبطال أفريقيا,نادي سامارتكس,الرجاء البيضاوي,18:00,- - -
دوري أبطال أفريقيا,ديكيداها,الترجى الرياضي,19:00,- - -
دوري أبطال أفريقيا,ديكيداها,الترجى الرياضي,19:00,- - -
دوري أبطال أفريقيا,ديكيداها,الترجى الرياضي,19:00,- - -
دوري أبطال أفريقيا,ديكيداها,الترجى الرياضي,19:00,- - -
دوري أبطال أفريقيا,سان بيدرو,الهلال السوداني,19:00,- - -
دوري أبطال أفريقيا,سان بيدرو,الهلال السوداني,19:00,- - -
دوري أبطال أفريقيا,سان بيدرو,الهلال السوداني,19:00,- - -
دوري أبطال أفريقيا,سان بيدرو,الهلال السوداني,19:00,- - -
دوري أبطال أفريقيا,ستاد أبيدجان,ميلو إف سي,22:00,- - -
دوري أبطال أفريقيا,ستاد أبيدجان,ميلو إف سي,22:00,- - -
دوري أبطال أفريقيا,ستاد أبيدجان,ميلو إف سي,22:00,- - -
دوري أبطال أفريقيا,ستاد أبيدجان,ميلو إف سي,22:00,- - -
الكونفيدرالية الإفريقية,أورابا يونايتد,ديناموز,17:00,- - -
الكونفيدرالية الإفريقية,أورابا يونايتد,ديناموز,17:00,- - -
الكونفيدرالية الإفريقية,أورابا يونايتد,ديناموز,17:00,- - -
الكونفيدرالية الإفريقية,أورابا يونايتد,ديناموز,17:00,- - -
الكونفيدرالية الإفريقية,نادي برافوس دو ماكيس,سانت إيلوا لوبوبو,18:00,- - -
الكونفيدرالية الإفريقية,نادي برافوس دو ماكيس,سانت إيلوا لوبوبو,18:00,- - -
الكونفيدرالية الإفريقية,نادي برافوس دو ماكيس,سانت إيلوا لوبوبو,18:00,- - -
الكونفيدرالية الإفريقية,نادي برافوس دو ماكيس,سانت إيلوا لوبوبو,18:00,- - -
الكونفيدرالية الإفريقية,روكينزو,الصفاقســــي,18:00,- - -
الكونفيدرالية الإفريقية,روكينزو,الصفاقســــي,18:00,- - -
الكونفيدرالية الإفريقية,روكينزو,الصفاقســــي,18:00,- - -
الكونفيدرالية الإفريقية,روكينزو,الصفاقســــي,18:00,- - -
الكونفيدرالية الإفريقية,إي إس سي كارا,أسيك أبيدجـــــان,19:00,- - -
الكونفيدرالية الإفريقية,إي إس سي كارا,أسيك أبيدجـــــان,19:00,- - -
الكونفيدرالية الإفريقية,إي إس سي كارا,أسيك أبيدجـــــان,19:00,- - -
الكونفيدرالية الإفريقية,إي إس سي كارا,أسيك أبيدجـــــان,19:00,- - -
الكونفيدرالية الإفريقية,الهلال الليبي,المصري,20:00,- - -
الكونفيدرالية الإفريقية,الهلال الليبي,المصري,20:00,- - -
الكونفيدرالية الإفريقية,الهلال الليبي,المصري,20:00,- - -
الكونفيدرالية الإفريقية,الهلال الليبي,المصري,20:00,- - -
الكونفيدرالية الإفريقية,أهلي طرابلس,سيمبا,20:00,- - -
الكونفيدرالية الإفريقية,أهلي طرابلس,سيمبا,20:00,- - -
الكونفيدرالية الإفريقية,أهلي طرابلس,سيمبا,20:00,- - -
الكونفيدرالية الإفريقية,أهلي طرابلس,سيمبا,20:00,- - -
الدوري الإنجليزي,توتنهام هوتسبر,أرسنال,16:00,- - -
الدوري الإنجليزي,توتنهام هوتسبر,أرسنال,16:00,- - -
الدوري الإنجليزي,توتنهام هوتسبر,أرسنال,16:00,- - -
الدوري الإنجليزي,توتنهام هوتسبر,أرسنال,16:00,- - -
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,18:30,- - -
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,18:30,- - -
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,18:30,- - -
الدوري الإنجليزي,وولفرهامبتون,نيوكاسل,18:30,- - -
الدوري الإسباني,سيلتا فيجو,بلد الوليد,15:00,- - -
الدوري الإسباني,سيلتا فيجو,بلد الوليد,15:00,- - -
الدوري الإسباني,سيلتا فيجو,بلد الوليد,15:00,- - -
الدوري الإسباني,سيلتا فيجو,بلد الوليد,15:00,- - -
الدوري الإسباني,جيرونا,برشلونة,17:15,- - -
الدوري الإسباني,جيرونا,برشلونة,17:15,- - -
الدوري الإسباني,جيرونا,برشلونة,17:15,- - -
الدوري الإسباني,جيرونا,برشلونة,17:15,- - -
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,19:30,- - -
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,19:30,- - -
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,19:30,- - -
الدوري الإسباني,لاس بالماس,أتلتيك بلباو,19:30,- - -
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,22:00,- - -
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,22:00,- - -
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,22:00,- - -
الدوري الإسباني,اتلتيكو مدريد,فالنسيا,22:00,- - -
الدوري الفرنسي,رين,مونبيليه,16:00,- - -
الدوري الفرنسي,رين,مونبيليه,16:00,- - -
الدوري الفرنسي,رين,مونبيليه,16:00,- - -
الدوري الفرنسي,رين,مونبيليه,16:00,- - -
الدوري الفرنسي,نانت,ريمس,18:00,- - -
الدوري الفرنسي,نانت,ريمس,18:00,- - -
الدوري الفرنسي,نانت,ريمس,18:00,- - -
الدوري الفرنسي,نانت,ريمس,18:00,- - -
الدوري الفرنسي,ستراسبورج,أنجيه,18:00,- - -
الدوري الفرنسي,ستراسبورج,أنجيه,18:00,- - -
الدوري الفرنسي,ستراسبورج,أنجيه,18:00,- - -
الدوري الفرنسي,ستراسبورج,أنجيه,18:00,- - -
الدوري الفرنسي,تولوز,لوهافر,18:00,- - -
الدوري الفرنسي,تولوز,لوهافر,18:00,- - -
الدوري الفرنسي,تولوز,لوهافر,18:00,- - -
الدوري الفرنسي,تولوز,لوهافر,18:00,- - -
الدوري الفرنسي,لانس,ليون,21:45,- - -
الدوري الفرنسي,لانس,ليون,21:45,- - -
الدوري الفرنسي,لانس,ليون,21:45,- - -
الدوري الفرنسي,لانس,ليون,21:45,- - -
الدوري الألماني,أوجسبورج,سانت باولي,16:30,- - -
الدوري الألماني,أوجسبورج,سانت باولي,16:30,- - -
الدوري الألماني,أوجسبورج,سانت باولي,16:30,- - -
الدوري الألماني,أوجسبورج,سانت باولي,16:30,- - -
الدوري الألماني,ماينز,فيردر بريمن,18:30,- - -
الدوري الألماني,ماينز,فيردر بريمن,18:30,- - -
الدوري الألماني,ماينز,فيردر بريمن,18:30,- - -
الدوري الألماني,ماينز,فيردر بريمن,18:30,- - -
الدوري الإيطالي,جنوى,روما,13:30,- - -
الدوري الإيطالي,جنوى,روما,13:30,- - -
الدوري الإيطالي,جنوى,روما,13:30,- - -
الدوري الإيطالي,جنوى,روما,13:30,- - -
الدوري الإيطالي,أتالانتا,فيورنتينا,16:00,- - -
الدوري الإيطالي,أتالانتا,فيورنتينا,16:00,- - -
الدوري الإيطالي,أتالانتا,فيورنتينا,16:00,- - -
الدوري الإيطالي,أتالانتا,فيورنتينا,16:00,- - -
الدوري الإيطالي,تورينو,ليتشي,16:00,- - -
الدوري الإيطالي,تورينو,ليتشي,16:00,- - -
الدوري الإيطالي,تورينو,ليتشي,16:00,- - -
الدوري الإيطالي,تورينو,ليتشي,16:00,- - -
الدوري الإيطالي,كالياري,نابولي,19:00,- - -
الدوري الإيطالي,كالياري,نابولي,19:00,- - -
الدوري الإيطالي,كالياري,نابولي,19:00,- - -
الدوري الإيطالي,كالياري,نابولي,19:00,- - -
الدوري الإيطالي,مونزا,إنتر ميلان,21:45,- - -
الدوري الإيطالي,مونزا,إنتر ميلان,21:45,- - -
الدوري الإيطالي,مونزا,إنتر ميلان,21:45,- - -
الدوري الإيطالي,مونزا,إنتر ميلان,21:45,- - -
الدوري السعودي,القادسية,الشباب,18:30,- - -
الدوري السعودي,القادسية,الشباب,18:30,- - -
الدوري السعودي,القادسية,الشباب,18:30,- - -
الدوري السعودي,القادسية,الشباب,18:30,- - -
الدوري السعودي,الخلود,العروبة,18:50,- - -
الدوري السعودي,الخلود,العروبة,18:50,- - -
الدوري السعودي,الخلود,العروبة,18:50,- - -
الدوري السعودي,الخلود,العروبة,18:50,- - -
الدوري السعودي,الاتحاد,الوحدة,21:00,- - -
الدوري السعودي,الاتحاد,الوحدة,21:00,- - -
الدوري السعودي,الاتحاد,الوحدة,21:00,- - -
الدوري السعودي,الاتحاد,الوحدة,21:00,- - -
الدوري التركي,قاسم باشا,فنربخشة,17:00,- - -
الدوري التركي,قاسم باشا,فنربخشة,17:00,- - -
الدوري التركي,قاسم باشا,فنربخشة,17:00,- - -
الدوري التركي,قاسم باشا,فنربخشة,17:00,- - -
الدوري التركي,قيصري سبور,ايوبسبور,17:00,- - -
الدوري التركي,قيصري سبور,ايوبسبور,17:00,- - -
الدوري التركي,قيصري سبور,ايوبسبور,17:00,- - -
الدوري التركي,قيصري سبور,ايوبسبور,17:00,- - -
الدوري التركي,ألانيا سبور,هاتاي سبور,20:00,- - -
الدوري التركي,ألانيا سبور,هاتاي سبور,20:00,- - -
الدوري التركي,ألانيا سبور,هاتاي سبور,20:00,- - -
الدوري التركي,ألانيا سبور,هاتاي سبور,20:00,- - -
الدوري التركي,طرابزون سبور,بشكتاش,20:00,- - -
الدوري التركي,طرابزون سبور,بشكتاش,20:00,- - -
الدوري التركي,طرابزون سبور,بشكتاش,20:00,- - -
الدوري التركي,طرابزون سبور,بشكتاش,20:00,- - -
الدوري البرتغالي,بورتو,فيرنسي,17:30,- - -
الدوري البرتغالي,بورتو,فيرنسي,17:30,- - -
الدوري البرتغالي,بورتو,فيرنسي,17:30,- - -
الدوري البرتغالي,بورتو,فيرنسي,17:30,- - -
الدوري البرتغالي,إستوريل,ناسيونال ماديرا,20:00,- - -
الدوري البرتغالي,إستوريل,ناسيونال ماديرا,20:00,- - -
الدوري البرتغالي,إستوريل,ناسيونال ماديرا,20:00,- - -
الدوري البرتغالي,إستوريل,ناسيونال ماديرا,20:00,- - -
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,22:30,- - -
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,22:30,- - -
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,22:30,- - -
الدوري البرتغالي,سبورتينج براجا,فيتوريا جيماريش,22:30,- - -
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,18:00,- - -
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,18:00,- - -
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,18:00,- - -
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,18:00,- - -
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,20:00,- - -
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,20:00,- - -
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,20:00,- - -
الدوري المغربي,نهضة الزمامرة,الدفاع الجديدي,20:00,- - -
الدوري المغربي,الفتح الرباطي,شباب المحمدية,22:00,- - -
الدوري المغربي,الفتح الرباطي,شباب المحمدية,22:00,- - -
الدوري المغربي,الفتح الرباطي,شباب المحمدية,22:00,- - -
الدوري المغربي,الفتح الرباطي,شباب المحمدية,22:00,- - -
الدوري التونسي,اتحاد تطاوين,البنزرتي,17:30,- - -
الدوري التونسي,اتحاد تطاوين,البنزرتي,17:30,- - -
الدوري التونسي,اتحاد تطاوين,البنزرتي,17:30,- - -
الدوري التونسي,اتحاد تطاوين,البنزرتي,17:30,- - -
